"","x"
"130","Semoga tambah baik"
"131","Aplikasi yg sistem nya belum terorganisir, dimana saya memesan salah satu hotel di aplikasi oyo, sudah booking dan transfer, akan tetapi saat check in hotel, hotel yg terkaitan full. Terjadi kesalahpamahan antara oyo dan pihak hotel. Sampai sekarang blm ada tanda refund dri pihak oyo maupun hotel. S...Ulasan LengkapAplikasi yg sistem nya belum terorganisir, dimana saya memesan salah satu hotel di aplikasi oyo, sudah booking dan transfer, akan tetapi saat check in hotel, hotel yg terkaitan full. Terjadi kesalahpamahan antara oyo dan pihak hotel. Sampai sekarang blm ada tanda refund dri pihak oyo maupun hotel. Sungguh sungguh mengecewakaan.!!!!"
"132","Good enough 👍🏻"
"133","Alah perusahaan tai klo mau nyari duit haram ngemis aja pak gausah nipu2..... Perusahaannya ga konsisten udh transfer ke hotel salina hotel syariah siduarjo,malah ga dapet kamar minta di batalin ke pihak oyo uang ga kembali....mohon di perbaiki lagi sisten adimistrasinya"
"134","Pertama aku menginap di oyo itu bersama cowok aku kita disana sm satu minggu.. yg sy rasakan oyo sgt nyaman enak smpi2 sy gk mau plng kermh 🤭 banyak kenangan yg indah bersama cowok Aku Yohan Gak akn prnh sy lupakan... Smg oyo sll membangun kualitas yg makin lbh baik dn nyaman lg jd banyak konsumen ...Ulasan LengkapPertama aku menginap di oyo itu bersama cowok aku kita disana sm satu minggu.. yg sy rasakan oyo sgt nyaman enak smpi2 sy gk mau plng kermh 🤭 banyak kenangan yg indah bersama cowok Aku Yohan Gak akn prnh sy lupakan... Smg oyo sll membangun kualitas yg makin lbh baik dn nyaman lg jd banyak konsumen yg akn gk mau plng klu cein dioyo"
"135","OYO Sangat Mengecewakan dan mempermalukan saya. Hari ini saya memesan 1 kamar untuk rekan saya yang berkunjung ke Jakarta. Biayanya sudah saya transfer ke Pihak OYO dan saya mendapat kode booking. Sesampainya di jakarta, rekan saya menuju ke lokasi berbekalkan kode booking dan info dri saya. Tiba2 r...Ulasan LengkapOYO Sangat Mengecewakan dan mempermalukan saya. Hari ini saya memesan 1 kamar untuk rekan saya yang berkunjung ke Jakarta. Biayanya sudah saya transfer ke Pihak OYO dan saya mendapat kode booking. Sesampainya di jakarta, rekan saya menuju ke lokasi berbekalkan kode booking dan info dri saya. Tiba2 rekan saya menghubungi dan mengatakan bahwa kode booking di tolak. Saya berbicara dgn pihak hotel by phone & mereka menyatakan bahwa Mereka Sama Sekali TIDAK BEKERJA SAMA dgn OYO. Saya merasa dirugikan"
"136","Ambil aja uang saya,relokasi tidak sesuai dgn harga yg saya bayar dan saya harus membayar tambahan biaya lagi,saya sangat KECEWA!!! SUDAH PELAYANAN LAMBAT KARENA SISTEM YANG BERMASALAH,KONSUMEN YANG HARUS MENANGGUNG AKIBATNYA,BENERIN DULU SISTEMNYA!!!"
"137","Pembaruan aplikasi OYO tambah ruwet , gk jelas pemberitahuan nya , pesanan nyantol, pembayaran nyantol, diskripsi hotel tidak ada, shg pemesan kecewa, hotel tidak ada parkirnya"
"138","Pas nyaman"
"139","Kecewa sm oyo!!! Penipu!! Ga sesuaii!!! Pesan hotel tnyata hny utk khusus putri, udh gitu aneh 160rb tedebet 1,6jt!!!! Gak bisa refund!! Kalau hotel bisa di nikmati iya gpp, ini kita nginep engga!! Tpi uang gak bisa refund, dasar penipuuuuuu. Gak recommend deh!"
