"","x"
"222","JANGAN MAU PAKAI AGODA. SUMPAH DEMI ALLAH BAKALAN NYESEL. PEMBAYARAN VIA ALFAMART , GILIRAN SAMPAI HOTEL GAK TERIDENTIFIKASI DATA KITA. UDAH COBA HUB SEMUA CS RESPON SANGAT2 LAMBAT. BUKAN SEBERAPA UANGNYA TP SEBERAPA PENTINGNYA KALIAN2 INI MENGUTAMAKAN PELANGGAN. SUNGGUH SANGAT KECEWA! HILANG SUDAH ...Ulasan LengkapJANGAN MAU PAKAI AGODA. SUMPAH DEMI ALLAH BAKALAN NYESEL. PEMBAYARAN VIA ALFAMART , GILIRAN SAMPAI HOTEL GAK TERIDENTIFIKASI DATA KITA. UDAH COBA HUB SEMUA CS RESPON SANGAT2 LAMBAT. BUKAN SEBERAPA UANGNYA TP SEBERAPA PENTINGNYA KALIAN2 INI MENGUTAMAKAN PELANGGAN. SUNGGUH SANGAT KECEWA! HILANG SUDAH 500.000 RIBU SAYA"
"223","Okay"
"224","Diskon nya mantap👍"
"225","good"
"226","Pilihan hotel lebih murah drpada di tempat lainn.. Semoga makin sukses agoda"
"227","Bagus pelayanan nya cepat.hanya bingung poin tokopedia bagaimana dipakai nya"
"228","aplikasi mudah dan banyak promo"
"229","sy pelanggan setia....biasa chek in jam brapa aja diterima...tp tgl 23 desember 2019 jam 9 pagi saya tdk bisa chek in padahal saya sudah booking/pesan 2 minggu sebelumnya"
"230","Sangat membantu"
"231","Ok"
"232","Lebih mudah banget cari hotel"
"233","Nice"
"234","Mantap... transaksi mudah. Klo bisa perbanyak lg discountnya"
"235","Harga harganya sangat murah （｡>‿‿<｡ ） Aku suka aplikasi ini jadi lebih mudah dan lebih terjangkay😍 😍 😍"
"236","Rezeki nomplok banget kalo dpt harga murah cuma di Agoda ..pokok nya mantab mania deh Agoda. :) By:421"
"237","Good price"
"238","Terima kasih :)"
"239","Saya membatalkan pesanan karena hotel sudah tidak menerima reservasi di hari ini tanggal 24 Desember 2019, tapi uang saya tidak bisa di refund. apakah ada kebijakan dari pihak agoda untuk masalah ini ?"
"240","Murah dan cepat"
"241","Pemesanan simple, harga seringnya lebih murah dri pada yg lain, pemakaian aplikasi mudah.."
"242","Mantappp"
"243","Good"
